epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9500290751457214,9.999999747378752e-05,0.1371954083442688,0.9512761235237122,0.11686604470014572
1,0.9953515529632568,9.999999747378752e-05,0.020021021366119385,0.953596293926239,0.08322413265705109
2,0.9959325790405273,9.999999747378752e-05,0.01629677414894104,0.9141531586647034,0.23122715950012207
3,0.994189441204071,9.999999747378752e-05,0.014301509596407413,0.9907192587852478,0.03109925240278244
4,0.9988378882408142,9.999999747378752e-05,0.00441083824262023,1.0,0.002507047727704048
5,0.9988378882408142,9.999999747378752e-05,0.0036397406365722418,1.0,0.006055840756744146
6,1.0,9.999999747378752e-05,0.002072567818686366,1.0,0.0010639179963618517
7,0.9994189143180847,9.999999747378752e-05,0.0013980168150737882,1.0,0.0018360166577622294
8,0.9988378882408142,9.999999747378752e-05,0.006511271931231022,1.0,0.0018648055847734213
9,0.9947704672813416,9.999999747378752e-05,0.01859673298895359,0.9953595995903015,0.015895439311861992
10,0.9982568025588989,1.9999999494757503e-05,0.006028846837580204,0.9976798295974731,0.005471197422593832
11,0.9982568025588989,1.9999999494757503e-05,0.00607761275023222,1.0,0.002768880920484662
12,1.0,1.9999999494757503e-05,0.0025654800701886415,1.0,0.003167227376252413
13,1.0,3.999999989900971e-06,0.0013531566364690661,1.0,0.002825504867359996
14,1.0,3.999999989900971e-06,0.0013011264381930232,1.0,0.002554073464125395
15,1.0,3.999999989900971e-06,0.001491808914579451,1.0,0.002515242202207446
16,0.9988378882408142,8.000000093488779e-07,0.002362029394134879,1.0,0.002235791413113475
17,1.0,8.000000093488779e-07,0.0009709702571853995,1.0,0.0021356295328587294
18,0.9988378882408142,8.000000093488779e-07,0.003626641584560275,1.0,0.002068272093310952
19,0.9994189143180847,1.5999999902760464e-07,0.002302700886502862,1.0,0.0019385518971830606
20,0.9994189143180847,1.5999999902760464e-07,0.0017670030938461423,1.0,0.0019631884060800076
21,1.0,1.5999999902760464e-07,0.0011843432439491153,1.0,0.0018565589562058449
