epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9196547269821167,9.999999747378752e-05,0.19275134801864624,0.8352668285369873,0.40472885966300964
1,0.9920318722724915,9.999999747378752e-05,0.021608620882034302,0.9767981171607971,0.08417035639286041
2,0.996679961681366,9.999999747378752e-05,0.013147185556590557,0.9767981171607971,0.0741235762834549
3,0.9986720085144043,9.999999747378752e-05,0.006494761910289526,0.9953595995903015,0.022931963205337524
4,0.9953519105911255,9.999999747378752e-05,0.016882987692952156,0.9976798295974731,0.016687745228409767
5,0.996679961681366,9.999999747378752e-05,0.015936413779854774,1.0,0.001360632013529539
6,0.9980079531669617,9.999999747378752e-05,0.006345001049339771,0.9976798295974731,0.0032233886886388063
7,0.9993360042572021,9.999999747378752e-05,0.002360712271183729,1.0,0.0003443742753006518
8,0.9960159659385681,9.999999747378752e-05,0.009438286535441875,1.0,0.000518488057423383
9,0.996679961681366,9.999999747378752e-05,0.01471929345279932,1.0,0.0001730251678964123
10,0.9993360042572021,9.999999747378752e-05,0.004072368144989014,1.0,0.00011104132136097178
11,0.9973439574241638,9.999999747378752e-05,0.009635204449295998,1.0,0.0017135473899543285
12,0.9993360042572021,9.999999747378752e-05,0.0026155461091548204,1.0,0.0006560467300005257
13,0.9986720085144043,1.9999999494757503e-05,0.0021942672319710255,0.9976798295974731,0.003219474107027054
14,0.9993360042572021,1.9999999494757503e-05,0.0014762671198695898,0.9976798295974731,0.005541580263525248
15,0.9993360042572021,1.9999999494757503e-05,0.004654946271330118,0.9976798295974731,0.003214856144040823
16,0.9986720085144043,3.999999989900971e-06,0.005505938548594713,1.0,0.001689964672550559
17,0.9980079531669617,3.999999989900971e-06,0.004622573032975197,1.0,0.0010848359670490026
18,0.9993360042572021,3.999999989900971e-06,0.007412785664200783,1.0,0.0008786391699686646
19,0.9980079531669617,8.000000093488779e-07,0.0038641802966594696,1.0,0.0007541183149442077
20,0.9986720085144043,8.000000093488779e-07,0.005328706000000238,1.0,0.000714594149030745
21,0.9980079531669617,8.000000093488779e-07,0.0048329466953873634,1.0,0.0007353064138442278
22,1.0,1.5999999902760464e-07,0.001466187066398561,1.0,0.0007430528639815748
