epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.677642285823822,9.999999747378752e-05,0.8944883942604065,0.7451298832893372,0.7306137681007385
1,0.860162615776062,9.999999747378752e-05,0.4128798246383667,0.8165584206581116,0.4995570480823517
2,0.894715428352356,9.999999747378752e-05,0.299511194229126,0.8798701167106628,0.3802105188369751
3,0.9166666865348816,9.999999747378752e-05,0.23681163787841797,0.8538960814476013,0.4166872203350067
4,0.9272357821464539,9.999999747378752e-05,0.21053238213062286,0.8798701167106628,0.35972288250923157
5,0.9463414549827576,9.999999747378752e-05,0.15050151944160461,0.8733766078948975,0.4165208637714386
6,0.9516260027885437,9.999999747378752e-05,0.1425378918647766,0.8847402334213257,0.3759714365005493
7,0.9593495726585388,9.999999747378752e-05,0.1139196902513504,0.8831169009208679,0.39590466022491455
8,0.9788618087768555,1.9999999494757503e-05,0.07527075707912445,0.8912337422370911,0.349616140127182
9,0.982520341873169,1.9999999494757503e-05,0.06552337110042572,0.899350643157959,0.3397836685180664
10,0.9837398529052734,1.9999999494757503e-05,0.05767024680972099,0.8944805264472961,0.3427768349647522
11,0.9882113933563232,1.9999999494757503e-05,0.041680436581373215,0.8977272510528564,0.34552860260009766
12,0.9910569190979004,1.9999999494757503e-05,0.03859948366880417,0.9042207598686218,0.3274938762187958
13,0.9890244007110596,1.9999999494757503e-05,0.04759116843342781,0.8928571343421936,0.35629335045814514
14,0.9898374080657959,1.9999999494757503e-05,0.04030037298798561,0.8977272510528564,0.3868437707424164
15,0.9902439117431641,1.9999999494757503e-05,0.033733054995536804,0.8944805264472961,0.3880469501018524
16,0.9918699264526367,3.999999989900971e-06,0.029228409752249718,0.8928571343421936,0.37552911043167114
17,0.9894309043884277,3.999999989900971e-06,0.033941999077796936,0.8977272510528564,0.3678353726863861
18,0.995121955871582,3.999999989900971e-06,0.027477730065584183,0.8928571343421936,0.3617323935031891
19,0.9906504154205322,8.000000093488779e-07,0.03236250951886177,0.8928571343421936,0.36538970470428467
20,0.9939024448394775,8.000000093488779e-07,0.026137549430131912,0.8928571343421936,0.365592360496521
21,0.9910569190979004,8.000000093488779e-07,0.03130517154932022,0.8928571343421936,0.36571985483169556
22,0.9890244007110596,1.5999999902760464e-07,0.037046413868665695,0.8928571343421936,0.365382581949234
23,0.992682933807373,1.5999999902760464e-07,0.031406570225954056,0.8928571343421936,0.36647456884384155
24,0.9939024448394775,1.5999999902760464e-07,0.028917495161294937,0.8928571343421936,0.3659555912017822
25,0.9918699264526367,3.199999909497819e-08,0.03414154052734375,0.8928571343421936,0.3665381073951721
26,0.9959349632263184,3.199999909497819e-08,0.028349151834845543,0.8928571343421936,0.36573463678359985
27,0.992682933807373,3.199999909497819e-08,0.027390019968152046,0.8928571343421936,0.3649011254310608
