epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6455284357070923,9.999999747378752e-05,0.9795581102371216,0.7808441519737244,0.8863940834999084
1,0.8215447068214417,9.999999747378752e-05,0.5021335482597351,0.7727272510528564,0.6626213788986206
2,0.8686991930007935,9.999999747378752e-05,0.36953580379486084,0.7840909361839294,0.7143239378929138
3,0.8813008069992065,9.999999747378752e-05,0.31760457158088684,0.8051947951316833,0.5349176526069641
4,0.9109756350517273,9.999999747378752e-05,0.25793328881263733,0.8295454382896423,0.49674949049949646
5,0.9138211607933044,9.999999747378752e-05,0.237812340259552,0.8441558480262756,0.5283814668655396
6,0.9243902564048767,9.999999747378752e-05,0.22048838436603546,0.8425324559211731,0.5417302846908569
7,0.9443089365959167,9.999999747378752e-05,0.18223847448825836,0.8522727489471436,0.5446266531944275
8,0.9674796462059021,1.9999999494757503e-05,0.10206576436758041,0.8798701167106628,0.41190624237060547
9,0.9674796462059021,1.9999999494757503e-05,0.09774402529001236,0.875,0.4288778305053711
10,0.9796748161315918,1.9999999494757503e-05,0.07499833405017853,0.8701298832893372,0.42219632863998413
11,0.982520341873169,1.9999999494757503e-05,0.06205323338508606,0.8733766078948975,0.40990933775901794
12,0.9808943271636963,1.9999999494757503e-05,0.06274410337209702,0.8733766078948975,0.42072904109954834
13,0.977642297744751,1.9999999494757503e-05,0.07118381559848785,0.875,0.47064724564552307
14,0.982520341873169,1.9999999494757503e-05,0.05722431093454361,0.8652597665786743,0.48757779598236084
15,0.9821138381958008,3.999999989900971e-06,0.05598049610853195,0.8636363744735718,0.4671604037284851
16,0.9849593639373779,3.999999989900971e-06,0.0511430948972702,0.8652597665786743,0.461386501789093
17,0.9853658676147461,3.999999989900971e-06,0.048293039202690125,0.8701298832893372,0.44963395595550537
18,0.9882113933563232,8.000000093488779e-07,0.04321505129337311,0.8717532753944397,0.4478013217449188
19,0.9861788749694824,8.000000093488779e-07,0.04756104201078415,0.8717532753944397,0.4505727291107178
20,0.9906504154205322,8.000000093488779e-07,0.039104167371988297,0.8717532753944397,0.4488716721534729
21,0.9894309043884277,1.5999999902760464e-07,0.04325254634022713,0.8717532753944397,0.44839543104171753
22,0.9861788749694824,1.5999999902760464e-07,0.04435449466109276,0.8717532753944397,0.45050176978111267
23,0.9833333492279053,1.5999999902760464e-07,0.05105289816856384,0.8685064911842346,0.4510384202003479
24,0.9873983860015869,3.199999909497819e-08,0.045352376997470856,0.8701298832893372,0.4521932601928711
25,0.9829268455505371,3.199999909497819e-08,0.052444539964199066,0.8685064911842346,0.45122721791267395
26,0.9882113933563232,3.199999909497819e-08,0.0423806868493557,0.8668830990791321,0.4523514211177826
