epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9407321214675903,9.999999747378752e-05,0.14915968477725983,0.988399088382721,0.041145794093608856
1,0.99244624376297,9.999999747378752e-05,0.02597086690366268,0.9976798295974731,0.00501065282151103
2,0.99244624376297,9.999999747378752e-05,0.022160205990076065,0.9953595995903015,0.026106173172593117
3,0.9889599084854126,9.999999747378752e-05,0.030247071757912636,0.9976798295974731,0.004978189244866371
4,0.9953515529632568,9.999999747378752e-05,0.017953138798475266,1.0,0.0022212339099496603
5,0.9970946907997131,9.999999747378752e-05,0.00798813533037901,1.0,0.0008962525171227753
6,0.9976757764816284,9.999999747378752e-05,0.014226621948182583,1.0,0.0002572754747234285
7,0.9965136647224426,9.999999747378752e-05,0.014442198909819126,0.988399088382721,0.02333236113190651
8,0.9953515529632568,9.999999747378752e-05,0.011771227233111858,0.9930394291877747,0.01814468577504158
9,0.9982568025588989,9.999999747378752e-05,0.0065554408356547356,0.9953595995903015,0.0067203897051513195
10,0.9988378882408142,1.9999999494757503e-05,0.0037357518449425697,1.0,0.0006695890915580094
11,0.9994189143180847,1.9999999494757503e-05,0.004068019334226847,1.0,0.00017674830451142043
12,1.0,1.9999999494757503e-05,0.0010720856953412294,1.0,0.0002487988385837525
13,1.0,3.999999989900971e-06,0.0010039140470325947,1.0,0.00029959497624076903
14,1.0,3.999999989900971e-06,0.0013897302560508251,1.0,0.00034372249501757324
15,1.0,3.999999989900971e-06,0.001170830917544663,1.0,0.0003917441063094884
16,1.0,8.000000093488779e-07,0.0013336983975023031,1.0,0.0003765358997043222
17,0.9994189143180847,8.000000093488779e-07,0.001476482255384326,1.0,0.0003730749886017293
18,1.0,8.000000093488779e-07,0.000827994488645345,1.0,0.00037386626354418695
19,1.0,1.5999999902760464e-07,0.001569158979691565,1.0,0.00038737477734684944
20,0.9994189143180847,1.5999999902760464e-07,0.004022273235023022,1.0,0.00039192489930428565
